"length","weight","sex","maturity"
17,43.8,"M","1"
29,143.8,"M","2"
35,269.5,"F","1"
33,195.5,"M","4"
20,60.7,"M","1"
36,292.8,"M","3"
24,97.3,"M","4"
23,89.6,"F","2"
28,143.7,"M","1"
35,266.6,"M","1"
23,68.6,"F","1"
10,7.4,"M","2"
25,104.2,"F","4"
30,172,"F","3"
36,283,"F","1"
23,68,"M","3"
30,177.7,"F","2"
26,138,"M","3"
37,317.4,"F","4"
18,43.8,"M","3"
13,18,"M","3"
9,5.8,"F","2"
8,4.1,"M","3"
26,121.9,"M","1"
42,446.2,"F","1"
26,111.5,"F","4"
25,120.7,"M","4"
27,150.6,"M","4"
18,44.7,"F","2"
36,378,"F","3"
26,130.7,"F","4"
27,121.8,"M","2"
22,72.8,"M","3"
32,249.8,"M","3"
29,146.5,"M","3"
13,15.4,"M","4"
12,14,"M","4"
35,306.9,"M","4"
38,424.8,"M","3"
20,66.6,"M","2"
35,354.3,"F","4"
36,375.4,"F","1"
39,447.2,"F","1"
37,399,"M","4"
27,139.4,"M","2"
38,466.4,"F","3"
23,92.5,"F","3"
9,4.9,"M","3"
23,84.3,"M","1"
29,189.5,"M","3"
23,123.3,"F","1"
32,250.6,"M","1"
10,8.1,"M","2"
29,193.4,"M","3"
30,220.9,"M","4"
36,331.7,"F","1"
27,122.2,"M","4"
42,500.9,"M","2"
29,147.1,"M","1"
36,351.7,"F","3"
19,59.5,"F","4"
31,167.8,"M","2"
33,246,"F","3"
25,121.1,"F","3"
38,395.9,"F","1"
36,356,"M","4"
35,312.3,"F","2"
33,252.4,"F","4"
17,36.6,"M","4"
16,34.9,"F","2"
30,181.4,"M","1"
28,133.8,"M","2"
36,308.8,"F","1"
33,214.5,"F","4"
38,388.1,"M","4"
26,112.6,"F","2"
35,287.7,"F","2"
9,5.5,"M","2"
38,527.2,"M","4"
29,175.3,"M","4"
34,272.7,"F","2"
30,182.9,"M","1"
17,35.9,"F","3"
42,461.1,"M","2"
35,277.7,"M","4"
8,4.5,"F","3"
13,16.9,"M","1"
18,48.9,"F","4"
24,95.3,"M","2"
38,386.1,"M","1"
34,258.3,"M","2"
27,153,"F","3"
27,172.4,"F","1"
30,217.5,"M","3"
40,424.1,"M","1"
36,309.5,"M","4"
28,171.3,"M","1"
15,25.2,"M","4"
17,36.8,"M","1"
32,226.9,"F","2"
40,487.5,"F","1"
18,49.6,"F","2"
31,185.1,"F","3"
27,148.4,"F","4"
20,48.1,"F","4"
20,58.4,"F","2"
30,184.1,"F","4"
23,88.1,"M","4"
31,213.1,"F","3"
26,118.1,"M","2"
34,282.2,"F","4"
22,64.5,"M","3"
39,338.1,"M","3"
42,521.1,"M","3"
32,229.3,"F","3"
16,34.2,"F","1"
36,262.3,"F","4"
22,86.7,"M","3"
32,310.3,"M","4"
37,350,"M","2"
31,175.7,"F","4"
37,328.2,"M","4"
29,195.7,"M","2"
8,4.1,"M","4"
25,88.3,"M","2"
37,338.8,"F","3"
38,431.4,"M","4"
21,64.4,"F","3"
37,291.6,"F","1"
35,344.7,"F","2"
24,100.7,"M","1"
42,467,"M","1"
8,4,"M","1"
