"length","year","month","sex"
23,2025,2,"M"
41,2025,3,"M"
22,2025,7,"F"
18,2025,7,"M"
32,2025,2,"F"
14,2025,3,"M"
19,2025,4,"F"
19,2025,11,"M"
32,2025,4,"M"
24,2025,11,"F"
40,2025,3,"F"
39,2025,3,"M"
25,2025,1,"F"
20,2025,10,"M"
40,2025,8,"F"
32,2025,10,"F"
26,2025,8,"F"
34,2025,9,"F"
18,2025,8,"M"
21,2025,7,"M"
12,2025,7,"M"
35,2025,1,"M"
39,2025,5,"F"
14,2025,11,"F"
24,2025,12,"F"
37,2025,12,"M"
15,2025,2,"F"
23,2025,2,"M"
22,2025,6,"M"
33,2025,4,"M"
12,2025,11,"F"
16,2025,7,"M"
30,2025,1,"M"
10,2025,11,"M"
37,2025,11,"M"
31,2025,5,"M"
37,2025,11,"M"
19,2025,10,"M"
32,2025,5,"F"
28,2025,1,"F"
36,2025,2,"F"
42,2025,1,"M"
27,2025,12,"F"
21,2025,5,"M"
36,2025,8,"M"
24,2025,6,"F"
25,2025,8,"F"
22,2025,2,"F"
39,2025,2,"M"
35,2025,3,"F"
28,2025,9,"M"
22,2025,12,"F"
19,2025,5,"M"
31,2025,3,"M"
15,2025,4,"F"
34,2025,3,"F"
23,2025,1,"M"
28,2025,1,"F"
26,2025,12,"M"
11,2025,9,"F"
16,2025,1,"F"
35,2025,8,"F"
34,2025,3,"F"
37,2025,5,"M"
20,2025,12,"F"
21,2025,5,"M"
24,2025,9,"M"
22,2025,4,"F"
39,2025,6,"F"
22,2025,6,"F"
40,2025,8,"F"
24,2025,10,"M"
20,2025,5,"F"
41,2025,3,"M"
22,2025,5,"F"
26,2025,7,"M"
28,2025,11,"F"
34,2025,1,"F"
31,2025,11,"F"
28,2025,12,"F"
34,2025,10,"F"
24,2025,12,"F"
37,2025,6,"F"
28,2025,7,"M"
41,2025,6,"M"
23,2025,4,"F"
30,2025,4,"F"
29,2025,5,"F"
19,2025,8,"M"
38,2025,5,"M"
26,2025,11,"F"
15,2025,11,"M"
39,2025,1,"M"
26,2025,11,"M"
32,2025,5,"F"
36,2025,12,"M"
26,2025,10,"M"
31,2025,6,"F"
26,2025,1,"M"
26,2025,3,"M"
31,2025,2,"M"
25,2025,7,"M"
20,2025,11,"F"
22,2025,6,"M"
37,2025,3,"F"
28,2025,2,"F"
18,2025,12,"M"
24,2025,4,"M"
38,2025,6,"M"
37,2025,11,"M"
32,2025,6,"M"
28,2025,9,"M"
27,2025,5,"M"
24,2025,9,"M"
27,2025,4,"M"
39,2025,1,"M"
34,2025,5,"F"
6,2025,6,"F"
38,2025,9,"F"
29,2025,6,"M"
29,2025,1,"M"
32,2025,5,"M"
25,2025,2,"F"
30,2025,8,"M"
30,2025,12,"F"
24,2025,9,"F"
29,2025,8,"M"
38,2025,7,"M"
43,2025,9,"F"
20,2025,8,"F"
22,2025,2,"M"
22,2025,2,"M"
28,2025,12,"M"
24,2025,1,"F"
32,2025,5,"F"
32,2025,2,"F"
42,2025,11,"F"
29,2025,2,"F"
36,2025,7,"M"
25,2025,6,"F"
14,2025,6,"F"
31,2025,8,"F"
22,2025,5,"M"
34,2025,8,"M"
27,2025,11,"F"
32,2025,11,"F"
26,2025,3,"F"
26,2025,12,"M"
30,2025,1,"M"
30,2025,12,"M"
18,2025,9,"F"
28,2025,6,"M"
27,2025,6,"F"
23,2025,2,"F"
34,2025,5,"F"
42,2025,6,"F"
31,2025,9,"F"
26,2025,7,"M"
11,2025,3,"F"
34,2025,8,"M"
28,2025,8,"F"
35,2025,7,"F"
36,2025,9,"F"
19,2025,10,"F"
36,2025,4,"M"
19,2025,4,"F"
23,2025,2,"F"
26,2025,10,"M"
19,2025,8,"M"
38,2025,6,"M"
26,2025,7,"M"
35,2025,6,"F"
24,2025,1,"M"
40,2025,3,"F"
26,2025,3,"M"
31,2025,11,"M"
17,2025,2,"M"
38,2025,1,"F"
37,2025,11,"F"
24,2025,4,"M"
20,2025,1,"F"
11,2025,6,"F"
32,2025,5,"M"
18,2025,7,"F"
17,2025,10,"M"
23,2025,11,"F"
19,2025,9,"F"
33,2025,2,"F"
31,2025,10,"M"
14,2025,10,"M"
41,2025,12,"F"
24,2025,4,"F"
21,2025,5,"M"
23,2025,7,"M"
28,2025,3,"M"
41,2025,5,"M"
34,2025,2,"M"
28,2025,4,"M"
30,2025,4,"F"
21,2025,2,"M"
19,2025,5,"M"
24,2025,11,"F"
29,2025,5,"M"
26,2025,1,"F"
15,2025,6,"F"
25,2025,3,"M"
31,2025,7,"F"
28,2025,6,"M"
43,2025,3,"M"
39,2025,3,"M"
13,2025,3,"F"
43,2025,4,"M"
36,2025,8,"F"
36,2025,11,"F"
19,2025,8,"M"
29,2025,9,"M"
19,2025,6,"M"
34,2025,10,"F"
32,2025,9,"F"
37,2025,8,"M"
41,2025,11,"M"
22,2025,5,"M"
27,2025,1,"M"
38,2025,8,"F"
27,2025,3,"F"
40,2025,12,"F"
23,2025,2,"M"
17,2025,5,"F"
38,2025,5,"M"
21,2025,9,"F"
33,2025,9,"M"
32,2025,1,"M"
28,2025,8,"F"
37,2025,5,"M"
41,2025,7,"F"
35,2025,9,"M"
24,2025,12,"M"
39,2025,4,"F"
25,2025,9,"F"
39,2025,8,"M"
11,2025,11,"M"
34,2025,12,"M"
31,2025,4,"F"
31,2025,7,"F"
30,2025,2,"M"
14,2025,4,"M"
13,2025,8,"M"
24,2025,8,"M"
19,2025,7,"M"
22,2025,10,"F"
6,2025,10,"M"
29,2025,1,"F"
19,2025,7,"M"
40,2025,3,"M"
37,2025,7,"F"
41,2025,5,"M"
21,2025,2,"M"
39,2025,12,"F"
33,2025,12,"F"
21,2025,4,"M"
31,2025,9,"F"
15,2025,12,"F"
28,2025,11,"F"
32,2025,9,"F"
29,2025,10,"F"
36,2025,6,"F"
26,2025,8,"F"
27,2025,12,"M"
26,2025,8,"F"
31,2025,9,"M"
7,2025,8,"F"
41,2025,1,"M"
41,2025,12,"M"
9,2025,1,"F"
40,2025,10,"M"
34,2025,2,"M"
32,2025,12,"F"
33,2025,5,"F"
27,2025,5,"M"
31,2025,8,"M"
21,2025,11,"M"
26,2025,2,"F"
27,2025,4,"F"
33,2025,8,"M"
33,2025,6,"M"
34,2025,3,"F"
13,2025,3,"F"
26,2025,9,"M"
14,2025,9,"F"
39,2025,9,"M"
37,2025,9,"M"
29,2025,9,"F"
40,2025,3,"M"
14,2025,6,"F"
34,2025,1,"M"
19,2025,7,"F"
33,2025,3,"F"
40,2025,11,"M"
30,2025,1,"F"
18,2025,1,"M"
32,2025,12,"M"
20,2025,6,"F"
32,2025,12,"M"
34,2025,11,"M"
6,2025,8,"F"
34,2025,8,"M"
36,2025,12,"F"
24,2025,1,"M"
30,2025,3,"F"
32,2025,9,"M"
32,2025,10,"F"
10,2025,6,"F"
30,2025,7,"F"
33,2025,10,"M"
26,2025,12,"F"
38,2025,8,"M"
22,2025,3,"M"
37,2025,9,"F"
39,2025,4,"F"
18,2025,9,"M"
22,2025,2,"F"
25,2025,1,"M"
39,2025,4,"M"
18,2025,1,"M"
16,2025,1,"M"
33,2025,1,"M"
6,2025,12,"M"
10,2025,9,"M"
31,2025,6,"M"
29,2025,7,"F"
17,2025,5,"F"
22,2025,10,"M"
38,2025,10,"M"
30,2025,8,"M"
40,2025,8,"F"
33,2025,9,"F"
20,2025,11,"F"
38,2025,8,"F"
23,2025,12,"M"
30,2025,3,"F"
31,2025,8,"F"
24,2025,12,"F"
25,2025,8,"M"
30,2025,1,"F"
25,2025,8,"M"
28,2025,1,"M"
14,2025,9,"M"
38,2025,6,"F"
19,2025,6,"F"
31,2025,5,"M"
31,2025,2,"F"
14,2025,2,"M"
25,2025,3,"M"
31,2025,8,"F"
37,2025,5,"M"
22,2025,11,"F"
30,2025,9,"F"
22,2025,11,"F"
25,2025,2,"F"
27,2025,7,"F"
31,2025,8,"F"
33,2025,2,"F"
35,2025,2,"M"
28,2025,11,"F"
36,2025,2,"M"
33,2025,7,"F"
22,2025,6,"M"
19,2025,3,"M"
11,2025,3,"M"
16,2025,9,"F"
38,2025,5,"F"
25,2025,2,"M"
22,2025,7,"M"
40,2025,6,"M"
29,2025,10,"F"
32,2025,1,"F"
29,2025,11,"F"
28,2025,4,"M"
21,2025,9,"M"
36,2025,3,"F"
8,2025,12,"M"
21,2025,7,"F"
16,2025,9,"F"
36,2025,11,"M"
34,2025,8,"M"
32,2025,3,"F"
28,2025,12,"F"
26,2025,5,"F"
30,2025,6,"F"
30,2025,6,"F"
20,2025,4,"M"
35,2025,7,"M"
26,2025,1,"M"
30,2025,5,"F"
22,2025,2,"M"
21,2025,9,"F"
24,2025,5,"F"
19,2025,9,"F"
37,2025,11,"F"
23,2025,12,"F"
28,2025,12,"F"
32,2025,1,"M"
37,2025,11,"F"
31,2025,12,"M"
24,2025,12,"M"
41,2025,6,"M"
33,2025,5,"F"
34,2025,2,"F"
35,2025,3,"M"
37,2025,8,"M"
29,2025,2,"M"
29,2025,5,"M"
40,2025,8,"F"
16,2025,8,"M"
30,2025,4,"F"
30,2025,2,"F"
22,2025,4,"F"
38,2025,3,"F"
25,2025,8,"F"
31,2025,1,"F"
35,2025,7,"F"
37,2025,6,"M"
21,2025,6,"F"
33,2025,11,"M"
29,2025,6,"M"
28,2025,11,"F"
27,2025,5,"F"
24,2025,8,"F"
27,2025,5,"F"
29,2025,5,"F"
26,2025,1,"F"
20,2025,1,"F"
32,2025,2,"F"
24,2025,7,"M"
32,2025,8,"F"
34,2025,1,"F"
23,2025,2,"M"
36,2025,2,"F"
24,2025,12,"M"
20,2025,11,"F"
33,2025,11,"M"
20,2025,2,"M"
6,2025,4,"F"
28,2025,10,"F"
35,2025,9,"M"
29,2025,7,"M"
34,2025,12,"F"
16,2025,6,"M"
20,2025,3,"F"
37,2025,3,"F"
32,2025,9,"M"
18,2025,7,"M"
23,2025,3,"M"
12,2025,4,"F"
19,2025,6,"M"
30,2025,3,"M"
36,2025,7,"F"
17,2025,8,"F"
20,2025,11,"F"
35,2025,3,"M"
27,2025,9,"F"
32,2025,8,"M"
36,2025,11,"F"
24,2025,2,"M"
25,2025,9,"M"
28,2025,4,"F"
18,2025,9,"F"
16,2025,12,"M"
31,2025,7,"M"
25,2025,9,"F"
26,2025,11,"M"
23,2025,9,"F"
27,2025,1,"F"
13,2025,6,"M"
17,2025,4,"F"
10,2025,11,"F"
33,2025,12,"F"
30,2025,6,"F"
33,2025,6,"F"
18,2025,5,"M"
28,2025,12,"M"
16,2025,3,"F"
19,2025,5,"F"
27,2025,2,"F"
